entity_name,Unnamed: 1,median_seconds_empty,total_pitches,arm_injury_2022,Player,"last_name, first_name",pitcher,ff_avg_speed,si_avg_speed,fc_avg_speed,sl_avg_speed,ch_avg_speed,cu_avg_speed,fs_avg_speed,kn_avg_speed,st_avg_speed,sv_avg_speed
Montas, Frankie,18.652,957,0,Frankie Montas,"Montas, Frankie",593423,96.1,95.6,89.5,87.2,,,86.4,,,
Gore, MacKenzie,18.652,572,1,MacKenzie Gore,"Gore, MacKenzie",669022,94.7,,,87.4,84.8,80.8,,,,
Burke, Brock,18.661,618,0,Brock Burke,"Burke, Brock",656271,95.1,93.3,,87.2,88.1,,,,,
Puk, A.J.,18.683,472,0,A.J. Puk,"Puk, A.J.",640462,96.7,96.2,,86.9,87.6,,,,86.5,
Hicks, Jordan,18.691,514,1,Jordan Hicks,"Hicks, Jordan",663855,99.0,99.4,,89.1,92.0,,92.0,,84.7,
Hernández, Carlos,18.704,462,0,Carlos Hernández,"Hernández, Carlos",672578,96.8,93.1,,85.9,,82.1,85.0,,,
Beeks, Jalen,18.718,435,0,Jalen Beeks,"Beeks, Jalen",656222,95.0,91.4,87.0,81.9,90.3,,,,,
Martin, Davis,18.79,442,0,Davis Martin,"Martin, Davis",663436,94.0,,,84.3,85.9,79.7,,,,
López, Pablo,18.794,1286,0,Pablo López,"López, Pablo",641154,93.6,93.4,88.7,,87.5,80.9,,,,
Mantiply, Joe,18.811,366,0,Joe Mantiply,"Mantiply, Joe",573009,90.9,90.4,,,82.6,81.1,,,,
Cessa, Luis,18.884,571,0,Luis Cessa,"Cessa, Luis",570666,93.3,93.6,,82.9,87.8,,,,,
Rodón, Carlos,18.922,1298,0,Carlos Rodón,"Rodón, Carlos",607074,95.5,95.1,,85.4,84.6,79.8,,,,
Coleman, Dylan,18.98,560,0,Dylan Coleman,"Coleman, Dylan",669395,97.6,98.0,,85.9,,,,,82.1,
Vest, Will,18.997,461,0,Will Vest,"Vest, Will",676684,95.1,94.2,,86.4,86.8,,,,,
Clevinger, Mike,19.012,840,1,Mike Clevinger,"Clevinger, Mike",605182,93.6,93.1,86.6,,86.3,76.7,,,79.9,
Snell, Blake,19.018,1025,0,Blake Snell,"Snell, Blake",605483,95.8,,,88.9,87.1,81.4,,,,
Lambert, Jimmy,19.042,344,0,Jimmy Lambert,"Lambert, Jimmy",669424,94.3,,,84.4,85.4,76.8,,,,
Soto, Gregory,19.118,491,0,Gregory Soto,"Soto, Gregory",642397,98.7,98.2,,89.3,91.8,,,,,
Hearn, Taylor,19.125,806,0,Taylor Hearn,"Hearn, Taylor",621368,94.8,93.8,88.8,84.9,87.6,,,,,
Sandoval, Patrick,19.145,1100,0,Patrick Sandoval,"Sandoval, Patrick",663776,93.1,93.4,,86.3,83.7,78.6,,,,
Marte, Yunior,19.145,379,0,Yunior Marte,"Marte, Yunior",628708,97.8,96.9,,86.0,90.9,,,,,
Odorizzi, Jake,19.158,794,1,Jake Odorizzi,"Odorizzi, Jake",543606,92.1,92.0,87.6,82.6,,71.9,85.1,,,
Syndergaard, Noah,19.173,876,0,Noah Syndergaard,"Syndergaard, Noah",592789,94.1,93.6,85.8,85.2,88.5,77.8,88.7,,,
Bush, Matt,19.177,417,1,Matt Bush,"Bush, Matt",456713,97.3,96.1,92.9,,,81.0,,,,
Edwards Jr., Carl,19.196,451,0,Carl Edwards Jr.,"Edwards Jr., Carl",605218,94.6,91.8,,,90.7,80.2,,,,
Trivino, Lou,19.227,434,0,Lou Trivino,"Trivino, Lou",642152,95.6,95.8,92.3,,87.4,76.8,,,81.9,
Pallante, Andre,19.249,828,0,Andre Pallante,"Pallante, Andre",669467,95.2,94.8,,86.9,83.1,76.5,,,,
White, Mitch,19.332,745,1,Mitch White,"White, Mitch",669952,93.7,94.0,,86.8,87.2,80.2,,,85.4,
Lynn, Lance,19.336,883,0,Lance Lynn,"Lynn, Lance",458681,93.0,91.4,88.8,86.0,85.8,82.0,,,,
Neris, Héctor,19.348,427,0,Héctor Neris,"Neris, Héctor",593576,94.3,94.5,,87.6,,,85.1,,,
Nelson, Nick,19.391,509,0,Nick Nelson,"Nelson, Nick",656793,96.3,91.4,,89.9,87.9,81.9,,,,
Festa, Matt,19.408,396,1,Matt Festa,"Festa, Matt",670036,92.6,91.2,,,,,,,82.9,
Swanson, Erik,19.436,361,0,Erik Swanson,"Swanson, Erik",657024,93.6,,,84.9,,,83.5,,,
Machado, Andrés,19.574,434,0,Andrés Machado,"Machado, Andrés",600921,95.6,95.1,,87.1,88.9,,,,,
Foley, Jason,19.574,402,0,Jason Foley,"Foley, Jason",671345,96.2,96.3,,86.5,89.5,,,,83.2,
Springs, Jeffrey,19.623,968,1,Jeffrey Springs,"Springs, Jeffrey",605488,91.4,89.9,,85.4,81.1,,,,,
Chafin, Andrew,19.662,377,0,Andrew Chafin,"Chafin, Andrew",605177,91.6,91.6,,82.9,84.7,,,,,
Gray, Josiah,19.673,1233,0,Josiah Gray,"Gray, Josiah",680686,94.4,94.6,87.4,85.8,88.1,82.7,,,,
Rasmussen, Drew,19.676,919,0,Drew Rasmussen,"Rasmussen, Drew",656876,95.5,94.9,90.3,85.4,,79.6,,,84.6,
Wells, Tyler,19.683,703,1,Tyler Wells,"Wells, Tyler",669330,93.5,,87.5,,86.7,76.3,,,79.5,
Floro, Dylan,19.697,375,1,Dylan Floro,"Floro, Dylan",571670,92.4,92.6,,84.1,85.2,,,,,
Falter, Bailey,19.716,572,1,Bailey Falter,"Falter, Bailey",663559,91.5,91.0,,83.5,83.1,76.6,,,,
Baker, Bryan,19.717,558,0,Bryan Baker,"Baker, Bryan",641329,96.2,,,87.3,84.0,,,,,
Domínguez, Seranthony,19.717,371,0,Seranthony Domínguez,"Domínguez, Seranthony",622554,97.7,98.2,92.9,89.5,92.0,,,,,
Graveman, Kendall,19.722,468,0,Kendall Graveman,"Graveman, Kendall",608665,96.6,96.4,,88.7,90.7,83.3,,,,
Murfee, Penn,19.745,448,0,Penn Murfee,"Murfee, Penn",682171,89.0,88.8,,,,,,,79.7,
Woodruff, Brandon,19.756,1128,0,Brandon Woodruff,"Woodruff, Brandon",605540,96.3,95.8,,88.0,86.1,84.0,,,,
García, Jarlín,19.766,445,0,Jarlín García,"García, Jarlín",606424,93.6,93.8,,82.7,85.2,,,,,
Luetge, Lucas,19.796,449,0,Lucas Luetge,"Luetge, Lucas",476595,87.5,,87.6,78.3,,73.5,,,77.4,
Thompson, Zach,19.819,982,1,Zach Thompson,"Thompson, Zach",605507,92.3,92.2,86.8,,85.7,76.6,,,,
Moore, Matt,19.883,500,0,Matt Moore,"Moore, Matt",519043,93.9,,,,85.0,83.6,,,,
Gibson, Kyle,19.888,1231,0,Kyle Gibson,"Gibson, Kyle",502043,92.0,91.7,89.4,83.4,84.7,79.2,,,83.0,
Kikuchi, Yusei,19.896,810,0,Yusei Kikuchi,"Kikuchi, Yusei",579328,94.9,96.4,91.1,86.6,87.0,85.2,,,,
Urías, Julio,19.9,1109,0,Julio Urías,"Urías, Julio",628711,93.1,,,,86.2,,,,,80.9
Effross, Scott,19.903,387,1,Scott Effross,"Effross, Scott",664123,90.8,90.4,,78.7,83.0,,,,79.8,
Krehbiel, Joey,19.93,458,0,Joey Krehbiel,"Krehbiel, Joey",607216,94.4,,86.4,80.0,84.3,,,,,
Scott, Tanner,19.96,568,0,Tanner Scott,"Scott, Tanner",656945,96.9,,,89.2,,,,,,
Brasier, Ryan,19.98,388,0,Ryan Brasier,"Brasier, Ryan",518489,95.9,96.1,,85.5,88.1,,,,,
Montero, Rafael,19.997,518,0,Rafael Montero,"Montero, Rafael",606160,96.4,95.9,,87.9,91.1,,,,,
Jax, Griffin,20.084,502,0,Griffin Jax,"Jax, Griffin",643377,95.4,95.6,,,89.8,82.6,,,86.4,
Farmer, Buck,20.099,376,0,Buck Farmer,"Farmer, Buck",571656,94.6,,,83.3,88.7,,,,,
Sawamura, Hirokazu,20.105,361,0,Hirokazu Sawamura,"Sawamura, Hirokazu",617228,95.9,,,85.8,,,92.0,,,
Castillo, Diego,20.107,364,1,Diego Castillo,"Castillo, Diego",650895,95.7,95.1,,88.4,,,,,,
Nola, Aaron,20.119,1328,0,Aaron Nola,"Nola, Aaron",605400,92.8,92.1,86.8,,85.9,78.6,,,,
Underwood Jr., Duane,20.119,412,0,Duane Underwood Jr.,"Underwood Jr., Duane",621249,95.9,95.3,92.4,,89.6,82.7,,,,
Smith, Will,20.128,401,0,Will Smith,"Smith, Will",519293,92.1,90.3,,81.7,86.9,76.9,,,,
Verlander, Justin,20.144,1044,1,Justin Verlander,"Verlander, Justin",434378,95.0,94.6,,87.4,86.2,79.0,,,,
Bautista, Félix,20.165,416,0,Félix Bautista,"Bautista, Félix",642585,99.7,99.1,,85.2,,,88.4,,,
Velasquez, Vince,20.185,579,0,Vince Velasquez,"Velasquez, Vince",592826,93.2,91.9,,84.7,88.2,81.5,,,,
Archer, Chris,20.227,872,0,Chris Archer,"Archer, Chris",502042,93.0,,,88.7,87.0,81.7,,,,
Maton, Phil,20.247,500,0,Phil Maton,"Maton, Phil",664208,91.0,90.2,86.4,,84.2,74.5,,,80.9,
Houck, Tanner,20.299,419,0,Tanner Houck,"Houck, Tanner",656557,95.3,94.5,,85.4,,,87.6,,,
Gausman, Kevin,20.331,1031,0,Kevin Gausman,"Gausman, Kevin",592332,95.0,,,84.4,84.5,,85.2,,,
Stratton, Chris,20.353,482,0,Chris Stratton,"Stratton, Chris",608717,92.8,92.9,,86.7,86.8,80.8,,,,
Montgomery, Jordan,20.368,1174,0,Jordan Montgomery,"Montgomery, Jordan",656756,93.0,93.0,88.3,,82.3,80.2,,,,
Bass, Anthony,20.431,430,0,Anthony Bass,"Bass, Anthony",542914,95.0,95.4,,86.6,,,86.8,,,
Stephan, Trevor,20.436,438,0,Trevor Stephan,"Stephan, Trevor",663986,96.5,,,85.9,,,87.9,,,
García, Yimi,20.446,493,0,Yimi García,"García, Yimi",554340,94.9,93.7,,89.5,87.2,82.5,,,,
Poche, Colin,20.468,406,0,Colin Poche,"Poche, Colin",621363,93.2,,,82.1,,78.7,,,,
Romano, Jordan,20.521,416,0,Jordan Romano,"Romano, Jordan",605447,96.9,96.3,,87.3,,,,,,
Bednar, David,20.531,367,1,David Bednar,"Bednar, David",670280,96.4,,,,,77.1,89.8,,,
Melancon, Mark,20.558,402,0,Mark Melancon,"Melancon, Mark",453343,91.7,91.8,90.9,84.1,,81.7,83.7,,,
Jackson, Zach,20.603,436,1,Zach Jackson,"Jackson, Zach",667427,94.4,,94.2,85.2,88.9,,,,,
López, Jorge,20.608,510,0,Jorge López,"López, Jorge",605347,97.2,97.7,,87.4,90.0,84.1,,,,
Thielbar, Caleb,20.632,389,0,Caleb Thielbar,"Thielbar, Caleb",573204,92.8,,,,82.7,73.0,,,81.3,
Ruiz, José,20.647,509,0,José Ruiz,"Ruiz, José",614179,96.9,96.0,,,89.9,86.3,,,,
Phillips, Evan,20.653,433,0,Evan Phillips,"Phillips, Evan",623465,96.0,96.2,93.3,,,,,,85.3,
Beede, Tyler,20.657,505,0,Tyler Beede,"Beede, Tyler",595881,95.8,95.6,,88.0,84.8,79.1,,,,
Giolito, Lucas,20.683,1227,0,Lucas Giolito,"Giolito, Lucas",608337,92.6,91.5,,84.4,81.0,79.2,,,,
Manoah, Alek,20.7,1280,0,Alek Manoah,"Manoah, Alek",666201,93.9,93.3,,81.5,86.5,,,,,
Schreiber, John,20.716,493,0,John Schreiber,"Schreiber, John",670167,94.4,93.4,,,88.5,,,,82.1,
De Los Santos, Enyel,20.774,348,0,Enyel De Los Santos,"De Los Santos, Enyel",660853,95.3,,,83.1,87.3,,,,,
Voth, Austin,20.778,795,0,Austin Voth,"Voth, Austin",608723,93.5,87.9,89.5,,87.1,77.5,,,83.7,
Barlow, Scott,20.846,550,0,Scott Barlow,"Barlow, Scott",605130,93.6,92.5,,84.1,,78.6,,,,
De Jong, Chase,20.88,561,1,Chase De Jong,"De Jong, Chase",608328,92.8,,,83.6,86.2,77.7,88.6,,,
Blackburn, Paul,20.881,862,0,Paul Blackburn,"Blackburn, Paul",621112,91.5,91.7,87.1,,86.0,78.8,,,79.1,
Darvish, Yu,20.938,1305,0,Yu Darvish,"Darvish, Yu",506433,95.0,94.7,90.7,86.0,,76.1,89.2,,82.7,
Stephenson, Robert,20.987,364,0,Robert Stephenson,"Stephenson, Robert",596112,96.8,95.8,,83.9,,77.5,88.1,,,
Kennedy, Ian,21.031,376,0,Ian Kennedy,"Kennedy, Ian",453178,93.4,,85.9,81.0,87.6,79.0,85.5,,,
Armstrong, Shawn,21.066,427,0,Shawn Armstrong,"Armstrong, Shawn",542888,95.3,95.6,92.3,,,,,,88.4,86.2
Burnes, Corbin,21.088,1506,0,Corbin Burnes,"Burnes, Corbin",669203,96.4,96.3,95.0,88.2,90.3,81.7,,,,
Hoffman, Jeff,21.103,381,1,Jeff Hoffman,"Hoffman, Jeff",656546,94.3,94.5,,81.2,87.6,,88.0,,,
Sears, JP,21.133,517,0,JP Sears,"Sears, JP",676664,93.2,,,,82.7,79.2,,,78.2,
Kopech, Michael,21.135,942,0,Michael Kopech,"Kopech, Michael",656629,94.9,95.1,,84.4,85.2,79.0,,,,
Ottavino, Adam,21.139,514,0,Adam Ottavino,"Ottavino, Adam",493603,94.8,94.2,87.8,,89.1,,,,81.0,
Garcia, Luis,21.173,1066,0,Luis Garcia,"Garcia, Luis",677651,94.0,90.0,85.3,,84.7,77.0,,,79.5,
Abreu, Bryan,21.246,423,0,Bryan Abreu,"Abreu, Bryan",650556,97.2,96.0,,88.4,89.7,84.5,,,,
Bard, Daniel,21.406,436,0,Daniel Bard,"Bard, Daniel",453268,98.0,98.0,,88.4,90.2,,,,,79.8
Clarke, Taylor,21.416,333,1,Taylor Clarke,"Clarke, Taylor",664199,95.6,,,88.4,89.0,,,,,
Acevedo, Domingo,21.468,396,0,Domingo Acevedo,"Acevedo, Domingo",642758,93.0,,,86.5,86.8,,,,,
Sewald, Paul,21.539,443,0,Paul Sewald,"Sewald, Paul",623149,92.5,92.6,,,,,,,82.8,
Muñoz, Andrés,21.589,414,0,Andrés Muñoz,"Muñoz, Andrés",662253,100.2,99.9,,88.6,,,,,,
Bickford, Phil,21.682,437,1,Phil Bickford,"Bickford, Phil",641360,94.1,,,83.3,88.7,,,,,
Ohtani, Shohei,21.727,1182,0,Shohei Ohtani,"Ohtani, Shohei",660271,97.3,97.2,90.7,85.2,,77.6,89.3,,85.3,
Familia, Jeurys,21.749,387,0,Jeurys Familia,"Familia, Jeurys",544727,95.4,95.2,,88.6,,,92.5,,,
Wilson, Steven,21.78,394,0,Steven Wilson,"Wilson, Steven",621051,95.1,,,83.1,85.1,,,,81.9,
Ramírez, Erasmo,21.816,538,0,Erasmo Ramírez,"Ramírez, Erasmo",541640,93.8,93.1,89.2,,85.4,80.6,,,,
Holmes, Clay,21.818,451,0,Clay Holmes,"Holmes, Clay",605280,,97.0,,88.3,,,,,84.9,
Díaz, Alexis,21.897,454,0,Alexis Díaz,"Díaz, Alexis",664747,95.7,95.4,,86.9,,81.4,,,,
Tepera, Ryan,21.905,395,0,Ryan Tepera,"Tepera, Ryan",572193,92.6,92.9,,86.0,85.8,81.5,,,80.0,
García, Luis,21.946,417,0,Luis García,"García, Luis",472610,97.7,98.7,,84.6,,,88.8,,82.4,
Alvarado, José,22.024,396,0,José Alvarado,"Alvarado, José",621237,98.2,99.6,93.8,,,86.5,,,,
Adam, Jason,22.096,392,0,Jason Adam,"Adam, Jason",592094,94.8,,,,90.0,,,,81.3,
Hendriks, Liam,22.097,403,1,Liam Hendriks,"Hendriks, Liam",521230,97.6,97.1,,89.0,,85.8,,,,
Hader, Josh,22.113,431,0,Josh Hader,"Hader, Josh",623352,97.2,97.4,,84.0,88.6,,,,,
Suarez, José,22.121,763,0,José Suarez,"Suarez, José",660761,92.7,91.7,,81.8,82.4,77.9,,,79.5,
Rogers, Taylor,22.27,516,0,Taylor Rogers,"Rogers, Taylor",573124,93.6,94.3,,,,,,,80.9,
Doval, Camilo,22.272,507,0,Camilo Doval,"Doval, Camilo",666808,,98.4,99.4,87.7,,,,,,
Pérez, Cionel,22.482,398,0,Cionel Pérez,"Pérez, Cionel",672335,97.0,96.4,,,,82.6,,,,84.0
Stanek, Ryne,22.514,376,0,Ryne Stanek,"Stanek, Ryne",592773,98.3,,,87.1,,,88.6,,,
Kimbrel, Craig,22.748,493,0,Craig Kimbrel,"Kimbrel, Craig",518886,95.8,,,,,85.6,,,86.3,
López, Reynaldo,22.812,416,0,Reynaldo López,"López, Reynaldo",625643,97.1,,,87.4,85.9,80.4,,,,
Hand, Brad,22.912,408,1,Brad Hand,"Hand, Brad",543272,92.6,92.4,,,,,,,79.3,
Martin, Chris,22.917,341,0,Chris Martin,"Martin, Chris",455119,95.3,94.5,91.6,,,83.9,88.4,,84.1,
Santana, Dennis,22.92,472,0,Dennis Santana,"Santana, Dennis",642701,97.6,96.7,,85.8,89.9,,,,,
Minter, A.J.,23.029,453,0,A.J. Minter,"Minter, A.J.",621345,96.6,,90.3,,87.6,,,,,
Ramirez, Noé,23.1,378,0,Noé Ramirez,"Ramirez, Noé",598287,89.8,,,,84.1,78.0,,,,
Helsley, Ryan,23.103,387,0,Ryan Helsley,"Helsley, Ryan",664854,99.6,,,89.2,89.7,80.8,,,,
Diekman, Jake,23.533,566,0,Jake Diekman,"Diekman, Jake",518617,95.7,95.2,,,86.4,,,,81.4,
Pagán, Emilio,23.83,460,0,Emilio Pagán,"Pagán, Emilio",641941,95.6,,85.8,84.6,,80.2,88.4,,,
Strickland, Hunter,24.262,471,0,Hunter Strickland,"Strickland, Hunter",519326,95.0,94.1,87.8,84.8,90.1,,,,,
Vesia, Alex,24.456,416,0,Alex Vesia,"Vesia, Alex",681911,94.1,,,85.0,85.6,,,,,
Bellatti, Andrew,24.586,414,0,Andrew Bellatti,"Bellatti, Andrew",571479,94.4,,,85.9,89.5,,,,,
Williams, Devin,24.717,468,0,Devin Williams,"Williams, Devin",642207,93.9,,89.7,86.4,83.4,,,,,
Finnegan, Kyle,25.543,471,0,Kyle Finnegan,"Finnegan, Kyle",640448,97.0,,,89.0,,,88.7,,,
Jansen, Kenley,25.579,422,1,Kenley Jansen,"Jansen, Kenley",445276,,93.6,92.2,81.2,,,,,,
Gallegos, Giovanny,25.811,390,0,Giovanny Gallegos,"Gallegos, Giovanny",606149,94.3,94.1,,85.5,87.1,,,,,
