Player,Tempo_23,Inj_23,total_pitches_empty,"last_name, first_name",pitcher,ff_avg_speed,si_avg_speed,fc_avg_speed,sl_avg_speed,ch_avg_speed,cu_avg_speed,fs_avg_speed,kn_avg_speed,st_avg_speed,sv_avg_speed
Tanner Bibee,13.488,1,732,"Bibee, Tanner",676440,94.9,93.9,84.7,,83.8,78.4,,,,
Sonny Gray,13.489,0,233,"Gray, Sonny",543243,92.9,92.8,87.6,,87.9,79.5,,,84.3,
Hoby Milner,13.5,0,523,"Milner, Hoby",571948,89.0,88.2,,,81.1,,,,79.6,
Alex Cobb,13.508,0,538,"Cobb, Alex",502171,95.6,94.5,,86.2,,83.6,89.5,,,
Emmet Sheehan,13.515,0,208,"Sheehan, Emmet",686218,95.4,93.6,,87.1,82.9,,,,79.3,
Ryan Yarbrough,13.515,0,252,"Yarbrough, Ryan",642232,87.0,88.1,84.2,,78.5,,,,71.9,
Brandon Pfaadt,13.521,0,359,"Pfaadt, Brandon",694297,93.7,93.1,,,86.7,78.8,,,83.8,
Bobby Miller,13.547,0,807,"Miller, Bobby",676272,99.1,98.8,,89.9,88.2,80.6,,,85.3,
Aaron Nola,13.562,0,553,"Nola, Aaron",605400,92.7,91.7,86.3,,85.9,79.4,,,,
Hyun Jin Ryu,13.577,1,269,"Ryu, Hyun Jin",547943,88.7,87.7,85.1,,78.1,68.9,,,,
Bailey Ober,13.591,0,556,"Ober, Bailey",641927,91.3,,,82.4,83.7,77.5,,,80.8,
Justin Steele,13.593,0,392,"Steele, Justin",657006,91.8,91.8,,83.3,87.5,80.5,,,,
Seth Lugo,13.608,0,473,"Lugo, Seth",607625,93.4,93.2,92.8,85.9,86.3,79.5,85.7,,82.1,80.6
Graham Ashcraft,13.611,1,250,"Ashcraft, Graham",668933,96.5,96.5,95.8,88.3,90.4,,,,,
Bryan Woo,13.618,1,623,"Woo, Bryan",693433,95.1,95.0,,87.6,89.7,,,,83.2,
Nick Pivetta,13.64,0,663,"Pivetta, Nick",601713,94.6,,88.4,86.6,,79.4,84.8,,84.2,
Tarik Skubal,13.67,1,591,"Skubal, Tarik",669373,95.8,95.8,,87.6,84.3,76.4,83.8,,,
Brayan Bello,13.695,1,231,"Bello, Brayan",678394,95.5,95.0,89.3,85.0,86.2,,,,85.9,
Hayden Wesneski,13.698,0,727,"Wesneski, Hayden",669713,94.3,92.9,88.6,84.6,84.5,,,,82.0,
Dean Kremer,13.732,0,760,"Kremer, Dean",665152,94.6,92.0,88.7,,85.3,78.1,85.6,,82.8,
Mason Englert,13.772,0,751,"Englert, Mason",669438,91.1,,,84.4,83.6,76.9,,,,81.0
Spencer Strider,13.789,0,706,"Strider, Spencer",675911,97.2,,,85.6,87.0,,,,,
Kyle Freeland,13.791,1,584,"Freeland, Kyle",607536,88.8,88.7,84.1,,84.3,80.6,,,,
Pablo López,13.8,0,322,"López, Pablo",641154,94.9,94.5,,,88.4,82.5,,,84.4,
Zack Wheeler,13.807,0,480,"Wheeler, Zack",554430,95.8,95.2,90.9,,90.8,81.4,,,84.4,
Kyle Hendricks,13.827,1,730,"Hendricks, Kyle",543294,87.8,87.5,,,80.7,73.3,,,,
Anthony DeSclafani,13.831,1,685,"DeSclafani, Anthony",543101,93.2,93.1,,87.4,86.4,82.2,,,,
