Player,Tempo_23,Inj_23,total_pitches_empty
Trevor Stephan,14.8,0,518
Michael Wacha,14.805,1,557
Erik Swanson,14.82,0,183
Sandy Alcantara,14.833,1,299
Aaron Ashby,14.839,1,252
Max Fried,14.847,1,369
A.J. Minter,14.85,1,654
Aaron Civale,14.865,0,374
Nick Lodolo,14.872,0,233
Andrew Nardi,14.873,1,878
Luke Weaver,14.882,1,699
Génesis Cabrera,14.892,0,883
Carlos Rodón,14.939,1,662
Andrew Heaney,14.942,0,258
Blake Snell,14.942,0,219
Emmanuel Clase,14.943,0,401
Grayson Rodriguez,14.945,0,250
Shohei Ohtani,14.973,0,982
Joe Kelly,14.977,1,190
Edward Cabrera,14.979,0,351
Phil Bickford,14.993,0,355
Daniel Lynch IV,15.026,1,300
Clay Holmes,15.04,0,343
Paul Sewald,15.06,0,335
Luis García,15.065,1,240
Cionel Pérez,15.068,1,197
David Robertson,15.073,0,642
David Bednar,15.091,0,629
Drew Smith,15.102,0,239
Alex Lange,15.112,0,964
Ryan Helsley,15.142,1,266
Camilo Doval,15.172,0,481
James Kaprielian,15.173,1,282
Pete Fairbanks,15.201,1,673
Tony Gonsolin,15.241,1,843
Ryne Stanek,15.268,0,203
Jimmy Herget,15.303,0,250
Jordan Romano,15.338,0,396
Tim Mayza,15.361,0,231
José Leclerc,15.391,0,361
Félix Bautista,15.425,1,198
Phil Maton,15.428,1,206
Kenley Jansen,15.438,0,278
Alek Manoah,15.463,0,241
Jorge López,15.471,0,622
Frankie Montas,15.543,1,192
Devin Williams,15.622,0,405
Gregory Soto,15.714,0,331
Yu Darvish,15.791,1,280
Aaron Loup,15.922,1,284
Jonathan Loáisiga,15.997,1,478
Giovanny Gallegos,16.025,1,247
Reynaldo López,16.049,0,237
Collin McHugh,16.495,1,667
Mychal Givens,16.731,1,328
Robbie Ray,16.993,1,820
Josh Hader,17.729,0,743
