player_key,player,injury_2022,injury_2023,tempo_2022,tempo_2023,pitches_2022,pitches_2023
kyle freeland,Kyle Freeland,0,1,17.201,13.791,1285,584
kyle gibson,Kyle Gibson,0,0,19.888,13.470000000000002,1231,640
kyle hendricks,Kyle Hendricks,1,1,16.989,13.826999999999998,642,730
lance lynn,Lance Lynn,0,0,19.336,14.142999999999999,883,306
logan gilbert,Logan Gilbert,0,0,15.153,14.15,1329,253
logan webb,Logan Webb,1,0,14.504,13.329,1423,564
lucas giolito,Lucas Giolito,0,0,20.683,14.685,1227,330
luis castillo,Luis Castillo,1,0,15.325,12.932,1130,905
luis cessa,Luis Cessa,0,0,18.884,14.265,571,243
luis garcía,Luis García,0,1,21.946,15.065,417,240
luis severino,Luis Severino,0,0,16.258,13.86,716,605
mackenzie gore,MacKenzie Gore,1,0,18.652,14.648,572,208
marco gonzales,Marco Gonzales,0,1,15.235,12.837,1273,215
marcus stroman,Marcus Stroman,0,0,16.52,14.167,1028,383
martín pérez,Martín Pérez,0,0,18.191,13.369,1408,227
matt moore,Matt Moore,0,0,19.883,13.927000000000001,500,652
matt strahm,Matt Strahm,0,0,20.62,13.408,340,357
max fried,Max Fried,1,1,18.031,14.847,1265,369
max scherzer,Max Scherzer,0,1,16.612,13.889,922,244
merrill kelly,Merrill Kelly,0,0,16.974,13.997,1363,463
michael king,Michael King,0,0,21.497,14.682,374,196
michael kopech,Michael Kopech,0,1,21.135,14.373,942,183
michael lorenzen,Michael Lorenzen,0,0,16.377,14.443,753,940
michael wacha,Michael Wacha,0,1,15.658,14.805,853,557
miles mikolas,Miles Mikolas,0,0,14.902,12.601000000000003,1449,881
mitch keller,Mitch Keller,0,0,14.981,12.125,1236,878
mychal givens,Mychal Givens,1,1,17.249,16.731,487,328
nathan eovaldi,Nathan Eovaldi,0,1,17.767,14.372,742,228
nestor cortes,Nestor Cortes,1,1,14.99,14.571,1091,274
nick lodolo,Nick Lodolo,1,0,17.087,14.872,793,233
nick martinez,Nick Martinez,0,0,17.727,14.532999999999998,761,785
nick pivetta,Nick Pivetta,0,0,17.008,13.639999999999999,1353,663
noah syndergaard,Noah Syndergaard,0,0,19.173,14.267,876,266
pablo lópez,Pablo López,0,0,18.794,13.8,1286,322
patrick corbin,Patrick Corbin,0,0,16.043,14.221,1184,274
patrick sandoval,Patrick Sandoval,0,0,19.145,14.621,1100,230
paul blackburn,Paul Blackburn,0,0,20.881,14.081,862,224
paul sewald,Paul Sewald,0,0,21.539,15.06,443,335
phil bickford,Phil Bickford,1,0,21.682,14.993,437,355
phil maton,Phil Maton,0,1,20.247,15.428,500,206
ranger suárez,Ranger Suárez,0,1,16.398,13.855,1216,312
reid detmers,Reid Detmers,0,0,16.246,14.120999999999999,981,440
reiver sanmartin,Reiver Sanmartin,0,1,14.563,13.74,495,183
reynaldo lópez,Reynaldo López,0,0,22.812,16.049,416,237
rich hill,Rich Hill,1,0,15.306,12.517999999999999,947,682
roansy contreras,Roansy Contreras,0,0,15.878,14.754,701,671
robbie ray,Robbie Ray,0,1,18.49,16.993,1275,820
ross stripling,Ross Stripling,1,0,17.136,13.045,891,181
ryan feltner,Ryan Feltner,1,0,17.299,13.526000000000002,776,178
ryan helsley,Ryan Helsley,0,1,23.103,15.142,387,266
ryan yarbrough,Ryan Yarbrough,1,0,18.361,13.515,593,252
ryne stanek,Ryne Stanek,0,0,22.514,15.268,376,203
sam long,Sam Long,0,0,12.758,13.038,342,207
sandy alcantara,Sandy Alcantara,0,1,15.462,14.833,1313,299
sean manaea,Sean Manaea,0,0,15.532,14.643,1079,288
seth lugo,Seth Lugo,0,0,16.988,13.607999999999999,526,473
shane bieber,Shane Bieber,0,1,14.55,13.315,1260,252
shane mcclanahan,Shane McClanahan,0,1,17.182,14.535,1102,502
shohei ohtani,Shohei Ohtani,0,0,21.727,14.973,1182,982
sonny gray,Sonny Gray,0,0,17.667,13.489,884,233
spencer strider,Spencer Strider,1,0,16.891,13.789,994,706
steven matz,Steven Matz,1,0,14.39,12.345,390,522
taijuan walker,Taijuan Walker,1,0,15.073,12.675,1133,900
tanner houck,Tanner Houck,0,0,20.299,13.162,419,773
tarik skubal,Tarik Skubal,1,1,15.79,13.67,843,591
tim hill,Tim Hill,1,1,17.121,13.837,365,589
tim mayza,Tim Mayza,0,0,17.525,15.361,345,231
tommy henry,Tommy Henry,0,1,18.758,14.279,342,433
tony gonsolin,Tony Gonsolin,1,1,18.395,15.241000000000001,867,843
trevor richards,Trevor Richards,0,0,17.595,13.926,543,299
trevor rogers,Trevor Rogers,1,1,17.255,14.696,843,208
trevor stephan,Trevor Stephan,0,0,20.436,14.8,438,518
trevor williams,Trevor Williams,0,0,17.173,13.96,641,209
triston mckenzie,Triston McKenzie,0,1,15.947,14.565,1159,187
tyler alexander,Tyler Alexander,1,1,18.269,12.935,700,785
tyler anderson,Tyler Anderson,0,0,17.418,12.961999999999998,1071,425
tyler wells,Tyler Wells,1,0,19.683,12.974999999999998,703,316
wandy peralta,Wandy Peralta,0,1,16.651,14.675,329,447
yimi garcía,Yimi García,0,0,20.446,14.744,493,402
yu darvish,Yu Darvish,0,1,20.938,15.791000000000002,1305,280
yusei kikuchi,Yusei Kikuchi,0,0,19.896,13.307,810,277
zac gallen,Zac Gallen,0,0,16.914,12.996,1300,701
zach davies,Zach Davies,1,0,16.15,14.742,1146,265
zach eflin,Zach Eflin,0,0,16.907,13.221,541,147
zach logue,Zach Logue,0,0,17.652,14.008,477,299
zach plesac,Zach Plesac,0,0,15.414,13.567,912,431
zack greinke,Zack Greinke,1,1,17.661,13.14,1056,342
zack wheeler,Zack Wheeler,1,0,16.643,13.807,1025,480
