player_id,player,injury_2022,injury_2023,tempo_2022,tempo_2023,pitches_2022,pitches_2023,velocity_2022,velocity_2023
641154,Pablo López,0,0,18.794,13.8,1286,322,93.6,94.9
641360,Phil Bickford,1,0,21.682,14.993,437,355,94.1,93.7
641482,Nestor Cortes,1,1,14.99,14.571,1091,274,91.8,91.6
641540,Dane Dunning,0,0,16.512,13.438,1191,795,88.7,90.6
641712,Dakota Hudson,1,0,16.414,14.163,1085,660,91.3,91.1
641745,Brad Keller,0,1,15.359,12.822,976,251,94.5,93.3
641778,Eric Lauer,1,1,15.388,14.197999999999999,1241,340,93.3,90.8
641927,Bailey Ober,0,0,16.026,13.591,366,556,91.5,91.3
642207,Devin Williams,0,0,24.717,15.622,468,405,93.9,94.2
642232,Ryan Yarbrough,1,0,18.361,13.515,593,252,86.7,87.0
642397,Gregory Soto,0,0,19.118,15.713999999999999,491,331,98.7,98.8
642547,Freddy Peralta,0,0,17.632,14.406,660,818,92.6,94.4
642585,Félix Bautista,0,1,20.165,15.425,416,198,99.7,99.5
643377,Griffin Jax,0,0,20.084,13.232,502,872,95.4,96.5
645261,Sandy Alcantara,0,1,15.462,14.833,1313,299,98.0,98.0
650556,Bryan Abreu,0,0,21.246,14.679,423,872,97.2,97.6
650644,Aaron Civale,1,0,17.45,14.865,737,374,90.8,91.8
656302,Dylan Cease,0,0,18.427,14.18,1371,408,96.8,95.6
656412,Alex Faedo,1,0,15.668,14.475,437,540,92.7,92.9
656557,Tanner Houck,0,0,20.299,13.162,419,773,95.3,93.9
656605,Mitch Keller,0,0,14.981,12.125,1236,878,95.6,95.2
656629,Michael Kopech,0,1,21.135,14.373,942,183,94.9,95.2
656638,Alex Lange,0,0,17.939,15.112,457,964,95.5,96.1
656756,Jordan Montgomery,0,0,20.368,13.963,1174,228,93.0,93.2
657006,Justin Steele,1,0,16.647,13.593,922,392,92.2,91.8
657024,Erik Swanson,0,0,19.436,14.82,361,183,93.6,93.7
657277,Logan Webb,1,0,14.504,13.329,1423,564,92.3,92.6
657376,Clarke Schmidt,0,0,17.285,13.906,420,570,94.7,95.2
657746,Joe Ryan,1,0,16.439,13.169000000000002,1017,686,92.0,92.3
660271,Shohei Ohtani,0,0,21.727,14.973,1182,982,97.3,96.8
663556,Shane McClanahan,0,1,17.182,14.535,1102,502,96.7,96.8
663559,Bailey Falter,1,0,19.716,14.04,572,465,91.5,90.7
663776,Patrick Sandoval,0,0,19.145,14.621,1100,230,93.1,93.0
663903,Brady Singer,0,0,14.614,14.254,1161,632,93.1,92.4
663986,Trevor Stephan,0,0,20.436,14.8,438,518,96.5,94.9
664062,Tony Gonsolin,1,1,18.395,15.241000000000001,867,843,93.1,92.4
664208,Phil Maton,0,1,20.247,15.428,500,206,91.0,88.3
664285,Framber Valdez,0,0,17.758,13.438,1356,251,94.1,94.5
664299,Cristian Javier,0,0,18.599,14.764,1131,716,93.8,92.7
664353,José Urquidy,0,1,16.427,14.762000000000002,1114,280,93.5,93.1
665152,Dean Kremer,0,0,17.223,13.732,837,760,93.5,94.6
665795,Edward Cabrera,1,0,17.392,14.979,585,351,96.0,96.2
666129,Braxton Garrett,1,0,16.7,14.111,639,259,91.5,90.8
666200,Jesús Luzardo,0,0,16.116,14.181,747,676,96.3,96.7
666201,Alek Manoah,0,0,20.7,15.463,1280,241,93.9,92.8
666808,Camilo Doval,0,0,22.272,15.172,507,481,98.4,99.2
668678,Zac Gallen,0,0,16.914,12.996,1300,701,94.1,93.5
668933,Graham Ashcraft,0,1,18.415,13.611,774,250,98.1,96.5
669022,MacKenzie Gore,1,0,18.652,14.648,572,208,94.7,95.0
669203,Corbin Burnes,0,0,21.088,14.669,1506,416,96.4,95.3
669302,Logan Gilbert,0,0,15.153,14.15,1329,253,96.1,95.7
669330,Tyler Wells,1,0,19.683,12.974999999999998,703,316,93.5,92.5
669373,Tarik Skubal,1,1,15.79,13.67,843,591,94.1,95.8
669456,Shane Bieber,0,1,14.55,13.315,1260,252,91.3,91.3
669923,George Kirby,0,0,16.457,13.148,876,315,95.3,96.1
670167,John Schreiber,0,0,20.716,14.665,493,864,94.4,93.2
670280,David Bednar,1,0,20.531,15.091,367,629,96.4,96.6
670912,Johan Oviedo,0,0,16.518,14.342,437,233,96.0,95.8
670950,Trevor Richards,0,0,17.595,13.926,543,299,93.4,92.8
672282,Reid Detmers,0,0,16.246,14.120999999999999,981,440,93.2,94.4
672335,Cionel Pérez,0,1,22.482,15.067999999999998,398,197,97.0,96.8
672710,Roansy Contreras,0,0,15.878,14.754,701,671,95.6,94.3
675911,Spencer Strider,1,0,16.891,13.789,994,706,98.2,97.2
676664,JP Sears,0,0,21.133,12.978,517,488,93.2,93.1
676710,Kutter Crawford,1,0,16.967,13.223,579,573,94.6,93.6
678394,Brayan Bello,1,1,16.253,13.695,462,231,97.0,95.5
680686,Josiah Gray,0,0,19.673,14.437999999999999,1233,301,94.4,93.6
680694,Kyle Bradish,1,0,18.363,14.147,911,336,94.6,94.5
693821,Bryce Elder,0,0,14.772,12.681000000000001,400,798,90.5,90.8
