analysis,design,n_2022,injured_2022,risk_2022,n_2023,injured_2023,risk_2023,risk_difference,risk_difference_ci_low,risk_difference_ci_high,risk_ratio,risk_ratio_ci_low,risk_ratio_ci_high,p_value,test,transition_00,transition_01,transition_10,transition_11,baseline_pitch_cutoff
Lower 2022 workload,Paired before-after comparison,94,24,0.2553191489361702,94,22,0.23404255319148937,-0.021276595744680826,-0.13829787234042554,0.09574468085106383,,,,0.8641662404406816,Exact McNemar,54,16,18,6,840.0
Higher 2022 workload,Paired before-after comparison,94,28,0.2978723404255319,94,33,0.35106382978723405,0.05319148936170215,-0.06382978723404255,0.1702127659574468,,,,0.4995598332025112,Exact McNemar,46,20,15,13,840.0
