year,player,player_key,tempo_seconds_empty,pitches_empty,injury,source_records,in_velocity_merge,player_id,primary_velocity_mph
2022,José Urquidy,josé urquidy,16.427,1114,0,1,1,664353,93.5
2022,Joe Ryan,joe ryan,16.439,1017,1,1,1,657746,92.0
2022,George Kirby,george kirby,16.457,876,0,1,1,669923,95.3
2022,Adam Oller,adam oller,16.488,583,0,1,1,670124,93.3
2022,Dane Dunning,dane dunning,16.512,1191,0,1,1,641540,88.7
2022,Johan Oviedo,johan oviedo,16.518,437,0,1,1,670912,96.0
2022,Marcus Stroman,marcus stroman,16.52,1028,0,1,1,573186,92.6
2022,Matt Manning,matt manning,16.539,436,1,1,1,666159,93.3
2022,José Ureña,josé ureña,16.557,732,0,1,1,570632,96.0
2022,Paolo Espino,paolo espino,16.562,928,0,1,1,502179,88.5
2022,Jhoulys Chacín,jhoulys chacín,16.582,358,0,1,0,,
2022,Tanner Banks,tanner banks,16.598,393,0,1,1,621383,92.9
2022,Lance McCullers Jr.,lance mccullers jr.,16.612,371,0,1,0,,
2022,Max Scherzer,max scherzer,16.612,922,0,1,1,453286,94.0
2022,Trevor Gott,trevor gott,16.62,373,1,1,0,,
2022,Zack Wheeler,zack wheeler,16.643,1025,1,1,1,554430,95.9
2022,Justin Steele,justin steele,16.647,922,1,1,1,657006,92.2
2022,Wandy Peralta,wandy peralta,16.651,329,0,1,1,593974,95.2
2022,Michael Fulmer,michael fulmer,16.658,497,0,1,1,605242,94.2
2022,Raisel Iglesias,raisel iglesias,16.663,415,0,1,1,628452,95.0
2022,David Phelps,david phelps,16.666,571,0,1,1,475479,93.2
2022,John King,john king,16.698,335,0,1,0,,
2022,Braxton Garrett,braxton garrett,16.7,639,1,1,1,666129,91.5
2022,Jonathan Heasley,jonathan heasley,16.735,828,1,1,1,669169,93.3
2022,Wil Crowe,wil crowe,16.75,630,1,1,1,640444,95.1
2022,Josh Winder,josh winder,16.781,496,1,1,1,680739,94.0
2022,Adam Wainwright,adam wainwright,16.797,1537,0,1,1,425794,88.0
2022,Devin Smeltzer,devin smeltzer,16.814,537,0,1,1,656970,89.4
