variable,smd_before_trimming,smd_after_trimming,absolute_smd_after,passes_0_1_threshold
Tempo,-2.3402557526251804,-1.639732376331193,1.639732376331193,0
Pitches,-0.9233734561996136,-0.8213673253650887,0.8213673253650887,0
Velocity,-0.04514606550643824,-0.15760612785851785,0.15760612785851785,0
