analysis,design,n_2022,injured_2022,risk_2022,n_2023,injured_2023,risk_2023,risk_difference,risk_difference_ci_low,risk_difference_ci_high,risk_ratio,risk_ratio_ci_low,risk_ratio_ci_high,p_value,test
All unique tempo records,Independent before-after comparison,391,91,0.23273657289002558,250,69,0.276,0.04326342710997444,-0.024865023507438633,0.11364935315434695,1.18589010989011,0.9075413795886755,1.5527768852805597,0.22494783457236758,Fisher exact
Tempo-velocity complete cases,Independent before-after comparison,348,83,0.23850574712643677,211,53,0.25118483412322273,0.012679086996785965,-0.05900960621688206,0.08794350474699333,1.053160509335922,0.7839207118443864,1.4218287627406117,0.7607763049072539,Fisher exact
Same pitchers matched by normalized name,Paired before-after comparison,188,52,0.2765957446808511,188,55,0.2925531914893617,0.015957446808510634,-0.06914893617021277,0.10106382978723404,,,,0.8099490529189248,Exact McNemar
Same pitchers matched by Statcast ID,Paired before-after comparison,155,43,0.27741935483870966,155,41,0.2645161290322581,-0.01290322580645159,-0.10967741935483871,0.08387096774193549,,,,0.8938530948350216,Exact McNemar
