Model,MAE,RMSE,R2
Event-decomposed OLS,15.649633216714511,18.850897329292597,0.9411847148525669
Original 5-feature OLS,16.522008710456376,21.246124038524744,0.9252888233947596
Mean baseline,70.95500000000001,85.38208242951212,-0.2065897633203202
