Feature,Coefficient,Robust_SE_HC3,CI_2.5%,CI_97.5%,p_value
Intercept,-425.9036320607597,93.46203386937736,-614.5176525207479,-237.28961160077154,4.423864722333481e-05
1B,0.49506380840421405,0.07567811881246117,0.34233918152506587,0.6477884352833623,6.600574787638126e-08
2B,1.0446156544696725,0.16375709647060382,0.7141404543756721,1.3750908545636729,1.1310876905965372e-07
3B,0.7611664089689998,0.4171862333751025,-0.08074949527303998,1.6030823132110394,0.07519182403635374
HR,1.3639321506286546,0.09258772204305096,1.1770825628679336,1.5507817383893756,3.4108608966488748e-18
BB_HBP,0.39481062191180716,0.06356164953163242,0.26653801999106125,0.5230832238325531,1.9710203184540727e-07
SB,0.360768237529143,0.08585723316897195,0.18750132621622387,0.5340351488420622,0.0001350570111587574
SO,-0.028474501401004437,0.02673813383219829,-0.08243424005527461,0.025485237253265743,0.29298739192766776
